Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;,,,,
18;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,671.25;2/3/23, 11:15 AM;$395.00;$6,030.00;0.0;,
19;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,591.25;2/6/23, 8:30 AM;;$5,966.00;4.0;,
20;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,498.25;2/6/23, 12:15 PM;($372.00);$5,658.00;0.0;,
21;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,555.25;2/7/23, 8:15 AM;;$5,669.00;4.0;,
22;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,653.75;2/7/23, 10:15 AM;$394.00;$6,052.00;0.0;,
23;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,671.25;2/7/23, 11:45 AM;;$6,158.00;4.0;,
24;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,696.50;2/8/23, 7:15 AM;$101.00;$6,153.00;0.0;,
25;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,662.75;2/9/23, 1:15 AM;;$6,152.00;4.0;,
26;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,685.00;2/9/23, 7:15 AM;$89.00;$6,242.00;0.0;,
27;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,317.00;2/12/23, 11:15 PM;;$6,311.00;4.0;,
28;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,581.75;2/14/23, 5:15 AM;$1,059.00;$7,301.00;0.0;
29;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,585.75;2/14/23, 7:00 AM;;$7,558.00;4.0;,
30;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,512.75;2/14/23, 8:15 AM;($292.00);$7,009.00;0.0;,
31;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,570.50;2/14/23, 11:15 AM;;$7,103.00;4.0;,
32;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,744.25;2/16/23, 1:00 AM;$695.00;$7,704.00;0.0;,
33;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,575.50;2/16/23, 7:15 AM;;$7,861.00;4.0;,
34;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,595.50;2/16/23, 12:15 PM;$80.00;$7,784.00;0.0;,
35;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,391.00;2/20/23, 3:15 AM;;$7,806.00;4.0;,
36;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,376.50;2/20/23, 9:45 AM;($58.00);$7,726.00;0.0;,
37;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,254.50;2/21/23, 1:15 AM;;$7,733.00;4.0;,
38;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,228.75;2/21/23, 6:30 AM;($103.00);$7,623.00;0.0;,
39;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,142.75;2/22/23, 10:15 AM;;$7,705.00;4.0;,
40;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,094.00;2/22/23, 11:45 AM;($195.00);$7,428.00;0.0;,
41;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,196.50;2/22/23, 5:45 PM;;$7,435.00;4.0;,
42;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,178.75;2/23/23, 1:30 AM;($71.00);$7,357.00;0.0;,
43;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,208.50;2/23/23, 4:15 AM;;$7,389.00;4.0;,
44;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,188.25;2/23/23, 7:15 AM;($81.00);$7,276.00;0.0;,
45;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,149.50;2/23/23, 11:15 AM;;$7,413.00;4.0;,
46;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,099.25;2/24/23, 3:15 AM;($201.00);$7,075.00;0.0;,
47;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,022.25;2/26/23, 5:15 PM;;$7,081.00;4.0;,
48;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,099.00;2/27/23, 9:15 PM;$307.00;$7,382.00;0.0;,
49;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,078.50;2/28/23, 2:15 AM;;$7,385.00;4.0;,
50;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,108.25;2/28/23, 12:15 PM;$119.00;$7,501.00;0.0;,
51;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,119.25;3/1/23, 1:15 AM;;$7,445.00;4.0;,
52;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,096.75;3/1/23, 5:15 AM;($90.00);$7,411.00;0.0;,
53;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,908.75;3/2/23, 7:15 AM;;$7,444.00;4.0;,
54;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,390.50;3/6/23, 10:15 AM;$1,927.00;$9,338.00;0.0;
55;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,190.00;3/8/23, 5:45 AM;;$9,288.00;4.0;,
56;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,171.00;3/8/23, 10:15 AM;($76.00);$9,262.00;0.0;,
57;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,153.25;3/9/23, 5:15 AM;;$9,308.00;4.0;,
58;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,261.75;3/9/23, 9:15 AM;$434.00;$9,696.00;0.0;,
59;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,000.75;3/10/23, 5:15 AM;;$9,697.00;4.0;,
60;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,020.75;3/10/23, 6:15 AM;$80.00;$9,776.00;0.0;,
61;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,045.00;3/10/23, 8:30 AM;;$9,747.00;4.0;,
62;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$11,901.25;3/10/23, 10:15 AM;($575.00);$9,201.00;0.0;,
63;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,020.25;3/12/23, 3:15 PM;;$9,566.00;4.0;,
64;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,056.25;3/13/23, 2:15 AM;$144.00;$9,345.00;0.0;,
65;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,111.00;3/13/23, 8:15 AM;;$9,562.00;4.0;,
66;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,320.00;3/15/23, 2:15 AM;$836.00;$10,181.00;0.0;,
67;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,249.25;3/15/23, 8:15 AM;;$10,144.00;4.0;,
68;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,736.50;3/17/23, 1:45 AM;$1,949.00;$12,130.00;0.0;
69;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,724.25;3/17/23, 6:45 AM;;$12,219.00;4.0;,
70;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,621.50;3/17/23, 7:45 AM;($411.00);$11,719.00;0.0;,
71;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,653.75;3/20/23, 8:15 AM;;$11,873.00;4.0;,
72;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,778.75;3/21/23, 7:15 AM;$500.00;$12,219.00;0.0;,
73;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,799.00;3/21/23, 11:15 AM;;$12,259.00;4.0;,
74;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,820.75;3/22/23, 1:15 AM;$87.00;$12,306.00;0.0;,
75;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,865.00;3/22/23, 6:15 AM;;$12,336.00;4.0;,
76;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,890.75;3/22/23, 12:15 PM;$103.00;$12,409.00;0.0;,
77;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,828.50;3/23/23, 6:15 AM;;$12,515.00;4.0;,
78;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,929.00;3/23/23, 10:15 AM;$402.00;$12,811.00;0.0;,
79;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,905.50;3/24/23, 12:45 AM;;$12,817.00;4.0;,
80;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,845.00;3/24/23, 1:45 AM;($242.00);$12,569.00;0.0;,
81;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,841.75;3/24/23, 12:15 PM;;$12,732.00;4.0;,
82;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,913.25;3/27/23, 12:15 AM;$286.00;$12,855.00;0.0;,
83;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,740.50;3/28/23, 1:15 PM;;$12,887.00;4.0;,
84;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,861.00;3/29/23, 8:00 AM;$482.00;$13,337.00;0.0;,
85;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,903.25;3/29/23, 8:45 AM;;$13,392.00;4.0;,
86;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,024.50;3/30/23, 10:45 AM;$485.00;$13,822.00;0.0;,
87;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,117.00;3/30/23, 5:15 PM;;$13,853.00;4.0;,
88;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,242.25;4/2/23, 3:15 PM;$501.00;$14,323.00;0.0;,
89;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,234.50;4/3/23, 12:15 PM;;$14,362.00;4.0;,
90;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,288.50;4/4/23, 6:15 AM;$216.00;$14,539.00;0.0;,
91;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,058.50;4/6/23, 4:15 AM;;$14,517.00;4.0;,
92;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,011.50;4/6/23, 6:15 AM;($188.00);$14,351.00;0.0;,
93;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,059.25;4/6/23, 8:15 AM;;$14,406.00;4.0;,
94;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,149.25;4/7/23, 5:00 AM;$360.00;$14,711.00;0.0;,
95;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,178.00;4/9/23, 3:00 PM;;$14,740.00;4.0;,
96;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,159.75;4/9/23, 5:15 PM;($73.00);$14,638.00;0.0;,
97;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,066.00;4/10/23, 8:15 AM;;$14,632.00;4.0;,
98;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,137.50;4/11/23, 4:15 AM;$286.00;$14,924.00;0.0;,
99;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,081.50;4/12/23, 1:15 AM;;$14,943.00;4.0;,
100;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,054.50;4/12/23, 5:30 AM;($108.00);$14,816.00;0.0;,
101;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,197.00;4/12/23, 5:45 AM;;$14,724.00;4.0;,
102;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,183.00;4/12/23, 6:15 AM;($56.00);$14,760.00;0.0;,
103;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,004.50;4/13/23, 2:30 AM;;$14,712.00;4.0;,
104;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,980.00;4/13/23, 4:45 AM;($98.00);$14,662.00;0.0;,
105;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,967.00;4/13/23, 5:15 AM;;$14,742.00;4.0;,
106;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,189.00;4/14/23, 1:15 AM;$888.00;$15,550.00;0.0;,
107;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,126.50;4/14/23, 6:15 AM;;$15,602.00;4.0;,
108;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,189.25;4/14/23, 7:15 AM;$251.00;$15,801.00;0.0;,
109;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,189.00;4/14/23, 1:15 PM;;$15,849.00;4.0;,
110;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,183.75;4/17/23, 2:15 AM;($21.00);$15,780.00;0.0;,
111;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,152.75;4/17/23, 12:15 PM;;$15,865.00;4.0;,
112;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,218.00;4/18/23, 7:15 AM;$261.00;$16,041.00;0.0;,
113;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,114.00;4/19/23, 7:15 AM;;$16,057.00;4.0;,
114;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,128.00;4/19/23, 10:15 PM;$56.00;$16,097.00;0.0;,
115;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,060.25;4/20/23, 6:15 AM;;$16,064.00;4.0;,
116;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,085.25;4/20/23, 9:30 PM;$100.00;$16,197.00;0.0;,
117;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,062.75;4/21/23, 7:30 AM;;$16,025.00;4.0;,
118;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,079.75;4/24/23, 7:15 AM;$68.00;$16,265.00;0.0;,
119;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,014.75;4/25/23, 4:30 AM;;$16,198.00;4.0;,
120;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,952.25;4/25/23, 7:15 AM;($250.00);$16,015.00;0.0;,
121;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,919.75;4/25/23, 1:15 PM;;$15,983.00;4.0;,
122;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,895.00;4/26/23, 4:15 AM;($99.00);$15,916.00;0.0;,
123;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,950.75;4/26/23, 6:15 AM;;$15,914.00;4.0;,
124;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,914.00;4/26/23, 11:15 AM;($147.00);$15,769.00;0.0;,
125;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,998.75;4/27/23, 12:15 AM;;$15,802.00;4.0;,
126;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,209.50;4/28/23, 8:00 AM;$843.00;$16,612.00;0.0;,
127;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,292.00;4/28/23, 12:15 PM;;$16,593.00;4.0;,
128;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,309.00;5/1/23, 1:15 AM;$68.00;$16,680.00;0.0;,
129;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,335.25;5/1/23, 9:45 AM;;$16,724.00;4.0;,
130;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,294.75;5/1/23, 5:15 PM;($162.00);$16,518.00;0.0;,
131;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,204.25;5/2/23, 11:00 AM;;$16,408.00;4.0;,
132;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,160.00;5/3/23, 12:15 PM;($177.00);$16,341.00;0.0;,
133;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,156.00;5/4/23, 12:45 AM;;$16,321.00;4.0;,
134;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,097.00;5/4/23, 4:15 AM;($236.00);$16,105.00;0.0;,
135;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,108.50;5/4/23, 6:00 PM;;$16,111.00;4.0;,
136;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,292.00;5/8/23, 6:15 AM;$734.00;$16,839.00;0.0;,
137;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,301.75;5/8/23, 8:15 AM;;$16,789.00;4.0;,
138;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,312.00;5/9/23, 1:15 AM;$41.00;$16,880.00;0.0;,
139;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,250.25;5/10/23, 4:15 AM;;$16,916.00;4.0;,
140;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,331.75;5/10/23, 10:15 AM;$326.00;$17,206.00;0.0;,
141;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,434.75;5/11/23, 12:15 AM;;$17,208.00;4.0;,
142;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,418.75;5/11/23, 6:15 AM;($64.00);$17,142.00;0.0;,
143;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,428.75;5/11/23, 9:15 AM;;$17,189.00;4.0;,
144;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,456.50;5/12/23, 5:30 AM;$111.00;$17,253.00;0.0;,
145;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,382.75;5/12/23, 12:45 PM;;$17,311.00;4.0;,
146;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,425.00;5/15/23, 6:15 AM;$169.00;$17,422.00;0.0;,
147;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,416.25;5/15/23, 8:15 AM;;$17,474.00;4.0;,
148;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,460.25;5/16/23, 5:15 AM;$176.00;$17,598.00;0.0;,
149;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,436.50;5/16/23, 6:15 AM;;$17,596.00;4.0;,
150;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,516.00;5/17/23, 6:15 AM;$318.00;$17,916.00;0.0;,
151;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,511.75;5/17/23, 7:15 AM;;$17,928.00;4.0;,
152;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,674.25;5/18/23, 5:15 AM;$650.00;$18,566.00;0.0;,
153;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,645.75;5/18/23, 6:15 AM;;$18,598.00;4.0;,
154;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,896.50;5/19/23, 3:45 AM;$1,003.00;$19,569.00;0.0;
155;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,849.75;5/22/23, 6:15 AM;;$19,563.00;4.0;,
156;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,884.50;5/23/23, 4:15 AM;$139.00;$19,708.00;0.0;,
157;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,631.75;5/24/23, 12:15 PM;;$19,905.00;4.0;,
158;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,967.75;5/25/23, 6:15 AM;$1,344.00;$21,052.00;0.0;
159;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,976.25;5/25/23, 8:15 AM;;$21,000.00;4.0;,
160;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,385.25;5/29/23, 7:15 PM;$1,636.00;$22,688.00;0.0;
161;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,398.75;5/30/23, 12:15 AM;;$22,740.00;4.0;,
162;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,527.75;5/30/23, 6:15 AM;$516.00;$23,204.00;0.0;,
163;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,385.50;5/31/23, 6:45 AM;;$23,164.00;4.0;,
164;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,323.75;5/31/23, 7:15 AM;($247.00);$22,957.00;0.0;,
165;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,385.50;6/1/23, 8:15 AM;;$22,945.00;4.0;,
